year,quantity,num_intro
1967,2955923.7,2
1968,3113208,1
1969,3204477.6,0
1970,3427831.8,0
1971,3459956.9,1
1972,3565647.2,0
1973,3742960.4,4
1974,3800388.8,1
1975,3576949.8,2
1976,3958424.7,0
1977,4199822.6,0
1978,4512669.9,5
1979,4697080.2,2
1980,4670605.2,2
1981,4753674,0
1982,5159850.3,1
1983,6269000.1,1
1984,7119132.5,1
1985,7671322.8,2
1986,8084146.2,0
1987,8400857.3,0
1988,8374187.7,0
1989,9139789.1,2
1990,9532031.4,0
1991,9760371.4,0
1992,9991393.8,0
1993,10729179.8,1
1994,11772600,2
1995,12684772.7,3
1996,13878900.2,2
1997,14236668.6,0
1998,15075608.8,3
1999,15881404.6,4
2000,15672735.3,0
2001,15622835.8,1
2002,16493902.1,3
2003,16966827.3,1
2004,17409236.9,1
2005,18092047.6,2
2006,18653048.9,0
2007,19895356.6,0
2008,19336234.3,1
2009,18988473.3,2
2010,20751407.1,2
2011,21210804.7,3
2012,21883663.1,0
2013,23100057.5,1
2014,23842641.9,1
2015,24560507.9,0
2016,25892235,4
2017,26738674.9,1
2018,27486213.2,2
2019,28001248.8,2
2020,28270805.6,1
2021,31049667.6,0
2022,31705558.4,1
2023,31899222.5,1
2024,32662928.2,1